U+378F	㞏
U+379A	㞚
U+37A4	㞤
U+37A5	㞥
U+37AA	㞪
U+37AF	㞯
U+37B1	㞱
U+37B2	㞲
U+37C5	㟅
U+37C7	㟇
U+37CA	㟊
U+37CB	㟋
U+37CE	㟎
U+37DB	㟛
U+37DC	㟜
U+37DE	㟞
U+37E2	㟢
U+37E8	㟨
U+37EA	㟪
U+37EC	㟬
U+37EE	㟮
U+37F1	㟱
U+37F2	㟲
U+37F4	㟴
U+37F6	㟶
U+37F7	㟷
U+37FA	㟺
U+37FC	㟼
U+37FE	㟾
U+37FF	㟿
U+3801	㠁
U+3802	㠂
U+3805	㠅
U+3808	㠈
U+380C	㠌
U+380D	㠍
U+3814	㠔
U+3815	㠕
U+3816	㠖
U+381A	㠚
U+381C	㠜
U+3820	㠠
U+3822	㠢
U+3825	㠥
U+3828	㠨
U+382E	㠮
U+3834	㠴
U+3837	㠷
U+3838	㠸
U+383E	㠾
U+3841	㡁
U+3849	㡉
U+384A	㡊
U+384B	㡋
U+384F	㡏
U+3853	㡓
U+3855	㡕
U+3859	㡙
U+385A	㡚
U+385C	㡜
U+385E	㡞
U+3865	㡥
U+3866	㡦
U+3868	㡨
U+386B	㡫
U+386E	㡮
U+386F	㡯
U+3870	㡰
U+3871	㡱
U+3874	㡴
U+3878	㡸
U+3879	㡹
U+387C	㡼
U+3882	㢂
U+3884	㢄
U+388D	㢍
U+388E	㢎
U+3895	㢕
U+3897	㢗
U+389B	㢛
U+389E	㢞
U+389F	㢟
U+38B8	㢸
U+38BA	㢺
U+38BB	㢻
U+38C2	㣂
U+38C3	㣃
U+38C5	㣅
U+38C6	㣆
U+38C7	㣇
U+38D1	㣑
U+38D2	㣒
U+38D9	㣙
U+38DB	㣛
U+38DC	㣜
U+38DF	㣟
U+38E0	㣠
U+38E2	㣢
U+38E3	㣣
U+38E7	㣧
U+38EB	㣫
U+38F0	㣰
U+38F1	㣱
U+38FB	㣻
U+3908	㤈
U+3909	㤉
U+390C	㤌
U+390D	㤍
U+390F	㤏
U+3911	㤑
U+3915	㤕
U+3918	㤘
U+3919	㤙
U+391B	㤛
U+391C	㤜
U+391F	㤟
U+3922	㤢
U+3924	㤤
U+392A	㤪
U+392B	㤫
U+392E	㤮
U+3933	㤳
U+3934	㤴
U+3936	㤶
U+3937	㤷
U+3938	㤸
U+3939	㤹
U+393A	㤺
U+393E	㤾
U+3940	㥀
U+3947	㥇
U+3949	㥉
U+394B	㥋
U+394E	㥎
U+3950	㥐
U+3951	㥑
U+3953	㥓
U+3954	㥔
U+395D	㥝
U+395E	㥞
U+395F	㥟
U+3961	㥡
U+3962	㥢
U+3965	㥥
U+3968	㥨
U+396E	㥮
U+3973	㥳
U+3974	㥴
U+3979	㥹
U+397C	㥼
U+3983	㦃
U+3985	㦅
U+3989	㦉
U+3991	㦑
U+3993	㦓
U+3994	㦔
U+3997	㦗
U+399B	㦛
U+399D	㦝
U+399F	㦟
U+39A3	㦣
U+39A6	㦦
